Category,Audience,Name,Channel,Enabled,Document,Recipient Type,Recipient Field / Role,Day,Trigger,Attachment,Sending Conditions,Implementation,Subject,Current Message (plain text)
Signup,Customer / Lead,AI SaaS - Lead Nurture - Dia 0,Email,1,MZ Signup,Customer,TO: email,0,On document creation,No,"doc.status == ""Started"" and doc.email and not doc.duplicate_of_account",Frappe Notification (fixture),Bem-vindo à MozEconomia Cloud — o primeiro passo está dado,"Prezado(a) {{ doc.full_name or """" }}, Bem-vindo à MozEconomia Cloud. Agradecemos a confiança — o primeiro passo está dado [SE doc.company_name:] para a {{ doc.company_name }} [FIM] . A MozEconomia Cloud é o software de facturação e gestão (ERP) certificado pela Autoridade Tributária de Moçambique. Numa única plataforma, a sua empresa passa a ter: Facturas e recibos certificados , com NUIT e IVA conforme a lei moçambicana Clientes, stock, compras e tesouraria sempre actualizados Salários com IRPS e INSS calculados automaticamente Relatórios que mostram, em MZN, o que a empresa está a ganhar e a gastar Suporte em português, por WhatsApp, a partir de Maputo Experimente durante {{ dias }} dias , sem compromisso: não pedimos qualquer pagamento para começar e só decide quando vir os resultados na sua empresa. Concluir o meu registo Se ainda não terminou o registo, esta ligação leva-o exactamente ao passo onde parou — em qualquer dispositivo, sem palavra-passe. Estamos à disposição para qualquer esclarecimento: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Com os melhores cumprimentos, Equipa MozEconomia Cloud"
Signup,Customer / Lead,já tem uma conta,Email,1,MZ Signup,Lead,TO: email,0,Signup step detects an existing cloud account for this email (api/signup.py _send_already_registered_email),No,"Duplicate found; generic message to the customer, team is notified separately",frappe.sendmail from code,Já tem uma conta MozEconomia Cloud,"Olá {{ full_name }}, Este email já tem uma conta MozEconomia Cloud. Se não se lembra do endereço ou da palavra-passe, responda a este email e ajudamos. Se está a registar outra empresa, continue o registo que abriu — cada empresa tem a sua conta, pelo NUIT. Equipa MozEconomia Cloud"
Signup,Customer / Lead,AI SaaS - Lead Nurture - Dia 3,Email,1,MZ Signup,Customer,TO: email,+3 from modified,"Daily scheduler, Days After modified",No,"doc.status == ""Started"" and doc.email and not doc.duplicate_of_account",Frappe Notification (fixture),O seu subdomínio continua reservado,"Olá {{ doc.full_name or """" }}, Ainda não terminou o seu registo. [SE doc.subdomain:] O endereço {{ doc.subdomain }}.erp.mozeconomia.co.mz continua reservado para si [SENÃO:] Falta pouco: o nome da empresa, o NUIT e o endereço da sua conta [FIM] — dois minutos e está feito. Continuar o meu registo A ligação leva-o exactamente ao passo onde parou — em qualquer dispositivo, sem palavra-passe. Precisa de ajuda? cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Equipa MozEconomia Cloud"
Signup,Customer / Lead,AI SaaS - Lead Nurture - Dia 10,Email,1,MZ Signup,Customer,TO: email,+10 from modified,"Daily scheduler, Days After modified",No,"doc.status == ""Started"" and doc.email and not doc.duplicate_of_account",Frappe Notification (fixture),Ficou com dúvidas? 20 minutos connosco resolvem,"Olá {{ doc.full_name or """" }}, Se parou porque não tem a certeza de que o MozEconomia Cloud serve o seu negócio, a forma mais rápida de saber é uma chamada curta com a nossa equipa — escolhe a hora, nós ligamos. Marcar uma chamada Ou, se preferir ver por si próprio, termine o registo e explore a conta à vontade: Continuar o meu registo A ligação leva-o exactamente ao passo onde parou — em qualquer dispositivo, sem palavra-passe. Precisa de ajuda? cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Equipa MozEconomia Cloud"
Signup,Customer / Lead,AI SaaS - Lead Nurture - Dia 20,Email,1,MZ Signup,Customer,TO: email,+20 from modified,"Daily scheduler, Days After modified",No,"doc.status == ""Started"" and doc.email and not doc.duplicate_of_account",Frappe Notification (fixture),"Configuramos a sua conta consigo, sem custo","Olá {{ doc.full_name or """" }}, Não quer perder tempo com a configuração inicial? Termine o registo e a nossa equipa faz a sessão de arranque consigo — plano de contas, artigos, utilizadores — sem qualquer custo durante o período experimental. Continuar o meu registo A ligação leva-o exactamente ao passo onde parou — em qualquer dispositivo, sem palavra-passe. Precisa de ajuda? cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Equipa MozEconomia Cloud"
Signup,Internal (MozEconomia),Alerta: registo duplicado / bloqueado,Email,1,MZ Signup,Internal,"TO: MZ SaaS Settings.ops_alert_recipients (fallback: Administrator email, else contacto@mozeconomia.co.mz)",0,api/signup.py refuses a signup (duplicate NUIT / existing cloud account),No,—,notify_ops,[MozEconomia Cloud] {{ subject }},"{{ message }} — which signup, which existing record."
Account delivery,Customer / Lead,MozEconomia Cloud - Entrega da Conta,Email,1,MZ Tenant Provisioning,Customer,TO: contact_email,0,End of provisioning (provisioning.py _render_welcome_email),No,Site created successfully; body branches on contract.is_signed,Email Template rendered from code (install.ensure_email_templates),[SE is_signed:] Bem-vindo à MozEconomia Cloud — conta activa [SENÃO:] A sua conta MozEconomia Cloud está pronta [FIM],"Olá {{ customer_name }}, A sua conta MozEconomia Cloud está pronta em {{ site_name }} . Definir a minha palavra-passe e entrar Utilizador: {{ contact_email }} · esta ligação é de utilização única. [SE is_signed:] O seu plano {{ plan }} está activo. As facturas chegam a este email no início de cada período, com 7 dias de prazo de pagamento. [SENÃO:] Pode experimentar tudo, sem compromisso e sem qualquer pagamento antecipado, até {{ trial_end }} . Nessa data o acesso é suspenso — a não ser que active a conta antes. Activar não custa nada: a facturação só começa em {{ trial_end }}, mesmo que assine hoje. Activar a minha conta Marcar uma chamada Plano escolhido: {{ plan }} — pode alterá-lo no momento da activação. [FIM] Precisa de ajuda? cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Com boas energias, Equipa MozEconomia Cloud"
Account delivery,Customer / Lead,problema temporário na conta,Email,1,MZ Tenant Provisioning,Customer,TO: contact_email,0,All provisioning retries exhausted (provisioning.py),No,status=Failed after MAX attempts and contact_email set,frappe.sendmail from code,Problema temporário com a sua conta MozEconomia Cloud,"Prezado(a) {{ customer_name }}, Encontrámos um problema técnico ao preparar a sua instância. A nossa equipa foi notificada e entrará em contacto em breve. Pedimos desculpa pelo inconveniente."
Account delivery,Internal (MozEconomia),Alerta: provisionamento falhou,Email,1,MZ Tenant Provisioning,Internal,"TO: MZ SaaS Settings.ops_alert_recipients (fallback: Administrator email, else contacto@mozeconomia.co.mz)",0,All provisioning retries exhausted,No,status=Failed,notify_ops (saas/provisioning.py),[MozEconomia Cloud] {{ subject }},Provisioning log and error for the site.
Trial,Customer / Lead,AI SaaS - Trial - 7 dias,Email,1,Contract,Customer,TO: contact_email,-7 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),Faltam 7 dias ao seu período experimental,"Olá {{ doc.party_name }}, O seu período experimental termina em {{ frappe.format_date(doc.start_date) }} . [SE invoiced:] Já emitiu facturas na sua conta — o mais difícil está feito. Active agora e continue exactamente onde está: nada é migrado, nada se perde, e a facturação só começa em {{ frappe.format_date(doc.start_date) }}. [SENÃO SE logged_in:] Já entrou na sua conta. Sugerimos emitir a primeira factura esta semana — é a forma mais rápida de ver o MozEconomia Cloud a trabalhar para si. Se preferir, marcamos 20 minutos para o fazer consigo. [SENÃO:] Reparámos que ainda não entrou na sua conta. Está tudo pronto — basta a ligação de acesso do email de entrega. Se ela expirou, responda a este email e enviamos outra. Se preferir, marcamos 20 minutos e emitimos a primeira factura consigo — sem custo. [FIM] Activar a minha conta Marcar uma chamada A sua conta: {{ doc.mz_tenant_url }} · Activar não custa nada — a facturação só começa em {{ frappe.format_date(doc.start_date) }}. cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Equipa MozEconomia Cloud"
Trial,Customer / Lead,AI SaaS - Trial - 3 dias,Email,1,Contract,Customer,TO: contact_email,-3 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),"3 dias: decida sem pressa, mas decida","Olá {{ doc.party_name }}, Em {{ frappe.format_date(doc.start_date) }} o acesso à sua conta é suspenso, a não ser que a active antes. [SE invoiced:] As facturas que já emitiu ficam disponíveis — suspensão não apaga dados — mas o seu negócio não deve parar. Active hoje: leva um minuto e não altera a data em que começa a pagar. [SENÃO:] Se ainda tem dúvidas sobre se o MozEconomia Cloud serve o seu negócio, a forma mais rápida de as resolver é uma chamada de 20 minutos com a nossa equipa. [FIM] Activar a minha conta Marcar uma chamada A sua conta: {{ doc.mz_tenant_url }} · Activar não custa nada — a facturação só começa em {{ frappe.format_date(doc.start_date) }}. cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Equipa MozEconomia Cloud"
Trial,Customer / Lead,AI SaaS - Trial - Último dia amanhã,Email,1,Contract,Customer,TO: contact_email,-1 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),Amanhã a sua conta é suspensa,"Olá {{ doc.party_name }}, Amanhã, {{ frappe.format_date(doc.start_date) }} , o acesso à sua conta {{ doc.mz_tenant_url }} é suspenso. Os dados ficam intactos e a reactivação é imediata — mas evite a interrupção: activar hoje demora um minuto e a facturação só começa amanhã. Activar a minha conta Marcar uma chamada A sua conta: {{ doc.mz_tenant_url }} · Activar não custa nada — a facturação só começa em {{ frappe.format_date(doc.start_date) }}. cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 Equipa MozEconomia Cloud"
