Category,Audience,Name,Channel,Enabled,Document,Recipient Type,Recipient Field / Role,Day,Trigger,Attachment,Sending Conditions,Implementation,Subject,Current Message (plain text)
Signup,Customer / Lead,AI SaaS - Lead Nurture - Dia 0,Email,1,MZ Signup,Customer,TO: email,0,On document creation,No,"doc.status == ""Started"" and doc.email and not doc.duplicate_of_account",Frappe Notification (fixture),O seu registo na MozEconomia Cloud — continue quando quiser,"{{ mz_greeting(doc.full_name) }} Obrigado por começar o registo da {{ doc.company_name }} na MozEconomia Cloud. Falta pouco: o nome da empresa, o NUIT e o endereço da sua conta — dois minutos. Concluir o meu registo Assim que terminar, a conta fica pronta em minutos e tem {{ dias }} dias para experimentar tudo — facturas certificadas pela Autoridade Tributária, clientes, stock, salários — sem qualquer pagamento para começar. A ligação leva-o exactamente ao passo onde parou — em qualquer dispositivo, sem palavra-passe. Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature() }}"
Signup,Customer / Lead,já tem uma conta,Email,1,MZ Signup,Lead,TO: email,0,Signup step detects an existing cloud account for this email (api/signup.py _send_already_registered_email),No,"Duplicate found; generic message to the customer, team is notified separately",frappe.sendmail from code,Já tem uma conta MozEconomia Cloud,"Olá {{ full_name }}, Este email já tem uma conta MozEconomia Cloud. Se não se lembra do endereço ou da palavra-passe, responda a este email e ajudamos. Se está a registar outra empresa, continue o registo que abriu — cada empresa tem a sua conta, pelo NUIT. Equipa MozEconomia Cloud"
Signup,Customer / Lead,AI SaaS - Lead Nurture - Dia 3,Email,1,MZ Signup,Customer,TO: email,+3 from modified,"Daily scheduler, Days After modified",No,"doc.status == ""Started"" and doc.email and not doc.duplicate_of_account",Frappe Notification (fixture),O seu subdomínio continua reservado,"{{ mz_greeting(doc.full_name) }} Ainda não terminou o seu registo. O endereço {{ doc.subdomain }}.erp.mozeconomia.co.mz continua reservado para si Falta pouco: o nome da empresa, o NUIT e o endereço da sua conta — dois minutos e está feito. Continuar o meu registo Termine hoje e emite a primeira factura ainda esta semana. A ligação leva-o exactamente ao passo onde parou — em qualquer dispositivo, sem palavra-passe. Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature() }}"
Signup,Customer / Lead,AI SaaS - Lead Nurture - Dia 10,Email,1,MZ Signup,Customer,TO: email,+10 from modified,"Daily scheduler, Days After modified",No,"doc.status == ""Started"" and doc.email and not doc.duplicate_of_account",Frappe Notification (fixture),Ficou com dúvidas? 20 minutos connosco resolvem,"{{ mz_greeting(doc.full_name) }} Se parou porque não tem a certeza de que a MozEconomia Cloud serve o seu negócio, a forma mais rápida de saber é ver por si próprio: termine o registo e explore a conta à vontade, sem qualquer pagamento. Continuar o meu registo Ou, se prefere falar primeiro: marcar 20 minutos — vemos consigo se serve o seu negócio. Escolhe a hora, nós ligamos. A ligação leva-o exactamente ao passo onde parou — em qualquer dispositivo, sem palavra-passe. Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature() }}"
Signup,Customer / Lead,AI SaaS - Lead Nurture - Dia 20,Email,1,MZ Signup,Customer,TO: email,+20 from modified,"Daily scheduler, Days After modified",No,"doc.status == ""Started"" and doc.email and not doc.duplicate_of_account",Frappe Notification (fixture),"Configuramos a sua conta consigo, sem custo","{{ mz_greeting(doc.full_name) }} Não quer perder tempo com a configuração inicial? Termine o registo e a nossa equipa faz a sessão de arranque consigo — plano de contas, artigos, utilizadores — sem qualquer custo durante o período experimental. Continuar o meu registo A ligação continua válida — retome quando fizer sentido para si. A ligação leva-o exactamente ao passo onde parou — em qualquer dispositivo, sem palavra-passe. Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature() }}"
Signup,Internal (MozEconomia),Alerta: registo duplicado / bloqueado,Email,1,MZ Signup,Internal,"TO: MZ SaaS Settings.ops_alert_recipients (fallback: Administrator email, else contacto@mozeconomia.co.mz)",0,api/signup.py refuses a signup (duplicate NUIT / existing cloud account),No,—,notify_ops,[MozEconomia Cloud] {{ subject }},"{{ message }} — which signup, which existing record."
Account delivery,Customer / Lead,MozEconomia Cloud - Entrega da Conta,Email,1,MZ Tenant Provisioning,Customer,TO: contact_email,0,End of provisioning (provisioning.py _render_welcome_email),No,Site created successfully; body branches on contract.is_signed,Email Template rendered from code (install.ensure_email_templates),{% if is_signed %}Bem-vindo à MozEconomia Cloud — conta activa{% else %}A sua conta MozEconomia Cloud está pronta{% endif %},"{{ greeting }} A conta da {{ customer_name }} está pronta em {{ site_name }} . Definir a minha palavra-passe e entrar Utilizador: {{ contact_email }} · esta ligação é de utilização única. O seu plano {{ plan }} está activo. As facturas chegam a este email no início de cada período, com 7 dias de prazo de pagamento. Tem até {{ trial_end }} para experimentar tudo — facturas certificadas, clientes, stock, salários — sem qualquer pagamento. Comece pela primeira factura: leva 5 minutos e mostra logo se serve ao seu negócio. Activar não custa nada — a facturação começa no dia em que activar. Quando decidir: activar a minha conta . Plano escolhido: {{ plan }} — pode alterá-lo na activação. 20 minutos connosco: emitimos a primeira factura consigo, sem custo — marcar 20 minutos . Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ signature }}"
Account delivery,Internal (MozEconomia),Alerta: provisionamento falhou,Email,1,MZ Tenant Provisioning,Internal,"TO: MZ SaaS Settings.ops_alert_recipients (fallback: Administrator email, else contacto@mozeconomia.co.mz)",0,All provisioning retries exhausted,No,status=Failed,notify_ops (saas/provisioning.py),[MozEconomia Cloud] {{ subject }},Provisioning log and error for the site.
Trial,Customer / Lead,AI SaaS - Trial - 7 dias,Email,1,Contract,Customer,TO: contact_email,-7 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),Faltam 7 dias ao período experimental da {{ doc.party_name }},"{{ mz_greeting(doc.mz_contact_name) }} O período experimental da {{ doc.party_name }} termina em {{ data }} . Já emitiu {{ n }} factura s na sua conta — o mais difícil está feito. Active e continue exactamente onde está: nada é migrado, nada se perde. Já entrou na sua conta. Emita a primeira factura esta semana — leva 5 minutos e mostra logo se serve ao seu negócio. Ainda não entrou na sua conta — está tudo pronto, basta a ligação do email de entrega. Se expirou, responda a este email e enviamos outra hoje. Activar não custa nada — a facturação começa no dia em que activar. Activar a minha conta A sua conta: {{ doc.mz_tenant_url }} · 20 minutos connosco: emitimos a primeira factura consigo, sem custo — marcar 20 minutos . Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature(doc.mz_account_manager) }}"
Trial,Customer / Lead,AI SaaS - Trial - 3 dias,Email,1,Contract,Customer,TO: contact_email,-3 from start_date,"Daily scheduler, Days Before start_date",No,"doc.docstatus == 1 and not doc.is_signed and doc.mz_account_phase == ""Trial"" and doc.contact_email",Frappe Notification (fixture),3 dias: activar leva um minuto e não muda a data em que começa a pagar,"{{ mz_greeting(doc.mz_contact_name) }} Em {{ data }} o acesso à conta da {{ doc.party_name }} pausa, a não ser que a active antes. A s {{ n }} factura s que emitiu fica m guardada s — mas o seu negócio não deve parar. Se ainda tem dúvidas sobre se serve o seu negócio, 20 minutos connosco: emitimos a primeira factura consigo, sem custo — marcar 20 minutos . Activar não custa nada — a facturação começa no dia em que activar. Activar a minha conta A sua conta: {{ doc.mz_tenant_url }} Responda a este email ou fale connosco: cloud@mozeconomia.co.mz · WhatsApp +258 87 4444 645 {{ mz_signature(doc.mz_account_manager) }}"
